CRS,Tiploc,Description,Stannox
,LUTOALM,LUTON ALMA STREET,0
,LUTOBRI,LUTON GALAXY CENTRE,0
LUB,LUTOBUS,LUTON BUS,0
LJL,LVRPJLA,LIVERPOOL J LENNON AIRPORT,0
,LVRPLFP,LIVERPOOL FERRYPORT,0
LVS,LVRPLSG,LIVERPOOL LANDING STAGE,0
,LVRPLSP,LIVERPOOL LEEDS ST,0
,LVRPSJS,LIVERPOOL ST JAMES,0
,LYDNNOR,NORCHARD,0
,LYNDPKH,LYNDHURST PARK HOTEL,0
XBD,LYNECMP,"LYNEHAM CAMP, MAIN GATE",0
MDY,MAERDY,MAERDY,0
MAW,MALLOW,MALLOW,0
,MARBORO,MARLBOROUGH HIGH ST BUS,0
,MBRK14P,MILLBROOK NO 14 POINTS,0
,MBRK17P,MILLBROOK NO 17 POINTS,0
,MBRK939,MILLBROOK SIG E939,0
,MBRK940,MILLBROOK SIG E940,0
,MDNHDW,MAIDENHEAD WEST,0
ZMV,MDVLLT,MAIDA VALE LT,0
MDT,MEDSTED,MEDSTEAD,0
XBO,MELKMAR,MELKSHAM MARKET PLACE,0
MLS,MELROSE,MELROSE,0
OTL,MENSTOB,OTLEY (BUS STATION),0
BEO,MERTBCN,BRECON,0
XEF,MEVATRE,MEVAGISSEY TREVORTH,0
,MFLDBS,MANSFIELD BUS STATION,0
,MFLDDOU,E MIDLANDS DESIGNER OUTLET,0
,MGTLSR,MOORGATE,0
XBR,MIDSTHL,MIDSOMER NORTON TOWN HALL,0
,MILF233,MILFORD SIGNAL M5233,0
MLR,MILNROW,MILNROW (METRO),0
XBW,MINEBAN,MINEHEAD BANCKS STREET,0
XBV,MINEBUT,MINEHEAD BUTLINS,0
,MINEPAR,MINEHEAD PARADE,0
,MKNSBUS,MILTON KEYNES THE POINT,0
,MLFORLP,MILFORD RED LION PUB,0
,MLLPTOP,MILLPORT,0
,MLRHSTE,MILLERHILL S.& T.E.,0
ANH,MNCRANC,ANCHORAGE (METROLINK),0
,MNCRBST,BROMLEY ST. JN (MAN VIC),0
BRD,MNCRBWY,BROADWAY (METROLINK),0
COZ,MNCRCBK,CORNBROOK (METROLINK),0
ECM,MNCRECC,ECCLES (METROLINK),0
EXQ,MNCREQY,EXCHANGE QUAY (METROLINK),0
HBC,MNCRHBC,HARBOUR CITY (METROLINK),0
,MNCRIWB,IRWELL BRIDGE JN (MAN VIC),0
LDW,MNCRLDW,LADYWELL (METROLINK),0
LWY,MNCRLWY,LANGWORTHY (METROLINK),0
,MNCRPES,MANCHESTER PIC ENGINE SDG,0
PMO,MNCRPOM,POMONA (METROLINK),0
SAQ,MNCRSQY,SALFORD QUAYS (METROLINK),0
WMT,MNCRWST,WEASTE (METROLINK),0
,MNCSTRM,MUNCASTER MILL,0
,MONMCTR,MONMOUTH CENTRE,0
,MOREWWR,WARMWELL ROUNDABOUT,0
ZMG,MORGTLT,MOORGATE LT,0
,MPRTNCB,MARYPORT UP SDG,0
