CRS,Tiploc,Description,Stannox
,MRKSTDL,MARKS TEY DOWN LOOP,0
,MRLAJN,MOOR LANE JN,0
XBH,MRLBHST,MARLBOROUGH HIGH STREET,0
,MRSNTC,MARSDEN TOWN CENTRE,0
XEK,MRTECTR,MORETONHAMPSTEAD COURT ST.,0
,MSSC385,MANCHESTER SOUTH SIG MS385,0
,MSSC423,MANCHESTER SOUTH SIG MS423,0
,MSSC604,MANCHESTER S SIG MS604/606,0
,MSSC739,MANCHESTER STH SIG MS1739,0
,MSSC750,MANCHESTER S SIG MS1750/52,0
,MSTO14,MAIDSTONE EAST SIGNAL ME14,0
MUK,MUCK,MUCK,0
ZNA,NACTON,NORTH ACTON LT,0
,NELMHAM,NORTH ELMHAM,0
HCR,NEWAHYK,HYKEHAM CROSSROADS,0
LBS,NEWALCN,LINCOLN BUS STATION,0
,NEWASCH,SOUTHWELL NORWOOD GARDENS,0
SLZ,NEWASWG,SOUTHWELL WESTGATE,0
SWC,NEWASWN,SWINDERBY A46 ROUNDABOUT,0
WIU,NEWAWSH,WITHAM ST HUGHES,0
,NGWR,NANT GWERNOL,0
,NHALLP,NEW HALL LOOP,0
NHY,NHEY,NEW HEY (METRO),0
,NKELSEY,NORTH KELSEY,0
NYN,NNTYRNN,NANTYRONEN,0
,NRCH176,NORWICH CROWN PT SI CO1762,0
,NRTHCA,NORTHFLEET - THE HIVE,0
NBS,NTNBSD,NORTON BRIDGE STATION DRV,0
NPP,NTNGPKK,NOTTINGHAM PHOENIX PARK,0
,NTWD,NORTHWOOD,0
,NUTBBUS,NUTBOURNE (A259),0
XET,NUTFBUS,NUTFIELD (MEMORIAL HALL),0
,NWAL21,NORTH WALSHAM SIGNAL TB21,0
,NWBB,NEWBY BRIDGE,0
,NWMKDWS,NEWMARKET DOWER WOOD SDG,0
NPT,NWPRBUS,NEWPORT BUS STATION,0
,NWPTKHL,NEWPORT KING'S HOTEL,0
,NWTN714,NEWTON HEATH SIG. MN714,0
,NWTN717,NEWTON HEATH SIG. MN717,0
,NWTN902,NEWTON HEATH SIG. MN902,0
XCG,OKHMGOP,OKEHAMPTON GOING PLACES,0
,OKHMPFS,OKEHAMPTON FORE STREET,0
,OKHMPMP,OKEHAMPTON MARKET STREET,0
,OKHMPWS,OKEHAMPTON WEST STREET,0
,OLDFLBR,OLDFIELD PARK LWR BRSTL RD,0
OLM,OLDHAMM,OLDHAM MUMPS (METRO),0
OLW,OLDHAMW,OLDHAM WERNETH (METRO),0
,OLDOTS,OLD OAK COMMON TAMPER SDG,0
OTR,OLDTRFD,OLD TRAFFORD,0
OOS,OOSTEND,OOSTENDE,0
,OTFO2XO,OTFORD NO 2 XOVER,0
OSM,OTTERBS,OTTERY ST. MARY BROAD ST.,0
,OVTNVPO,OVERTON VILLAGE P O,0
,OXFDBUS,OXFORD BUS STATION,0
,OXFDFSQ,OXFORD FRIDESWIDE SQUARE,0
XVE,OXFDWBU,OXFORD WESTGATE,0
,OXFDX74,OXFORD SIG. OX74,0
,PADT010,PADDINGTON SIG. SN6010,0
,PADT026,PADDINGTON SIG. SN26,0
,PADT028,PADDINGTON SIG. SN28,0
,PADT030,PADDINGTON SIG. SN30,0
,PADT032,PADDINGTON SIG. SN32,0
,PADT034,PADDINGTON SIG. SN34,0
,PADT036,PADDINGTON SIG. SN36,0
,PADT093,PADDINGTON SIG. SN93,0
,PAIGTQP,PAIGNTON(QUEENS PARK),0
PAZ,PARISLZ,PARIS ST LAZARE,0
XDR,PARRSTA,PAR STATION ROAD,0
,PBRO797,PETERBOROUGH SIG P797,0
,PBRO799,PETERBOROUGH SIG P799,0
PBU,PBROBST,PETERBOROUGH QUEENSGATE,0
CBZ,PBROCOR,CORBY GEORGE STREET,0
DEB,PBRODMP,DEREHAM MARKET PLACE,0
KEZ,PBROKET,KETTERING LIBRARY,0
KLB,PBROKLB,KINGS LYNN BUS STATION,0
SWB,PBROSTI,SWAFFHAM MARKET PLACE,0
OUD,PBROUND,OUNDLE MARKET PLACE,0
XEO,PCWLJST,PORTHCAWL JOHN STREET,0
PDT,PDSTWBT,PADSTOW OLD RLY STATION,0
,PEAKF45,PEAK FOREST SIGNAL 45,0
PBS,PEEBLES,PEEBLES,0
PDK,PEMBFTM,PEMBROKE FERRY TERMINAL,0
,PENRHYN,PENRHYN,0
,PENZHPT,PENZANCE HELIPORT,0
XCL,PERRBCH,PERRANPORTH BEACH ROAD,0
,PERTHSC,PERTH SOUTH C.E.,0
,PERTHST,PERTH S.& T.E.,0
,PILOTHT,PILOT HALT,0
,PKHDNJN,PARKHEAD NORTH JN,0
,PLVNSQU,PORTHLEVEN SQUARE,0
XDJ,PLYMSAL,PLYMOUTH SALTASH ROAD,0
,PNKRBUS,PENKRIDGE BUS A449,0
,PNSHBUS,PENSHURST LITTLE BROWN JUG,0
PNQ,PNZQUAY,PENZANCE QUAY,0
PCF,POMOCFP,PORTSMOUTH CONT FERRY PORT,0
PEE,PORTREE,PORTREE,0
,PRFLVWR,PURFLEET DEEP WATER VWR,0
XPF,PRNTSQ,PRINCETOWN SQUARE,0
PTS,PRSH,PORTRUSH,0
PPR,PRSPBUS,PRESTON PARK (LONDON ROAD),0
,PRSTFGT,PRESTON (FISHERGATE),0
PMG,PRTHHBR,PORTHMADOG HARBOUR,0
,PRTHWHR,PORTHMADOG WELSH HIGHLAND,0
,PSLTVDB,PORT SUNLIGHT SDG,0
,PURL155,PURLEY SIGNAL T.155,0
,PURLBM,PURLEY BRETT MARINE,0
PWC,PWCH,PRESTWICH,0
PCM,PYCMMER,PONTYCYMMER,0
RCF,RADGM,RADCLIFFE(GRTR MANCHESTER),0
XEQ,RADSVHL,RADSTOCK VICTORIA HALL,0
RMZ,RAMSHBR,RAMSGATE HARBOUR,0
,RAYNSGF,RAYNES PARK GROUND FRAME,0
,RBRTEGF,ROBERTSBRIDGE ENGINEERS GF,0
,RDHASDG,REEDHAM TMPR SDG (NORFOLK),0
,RDNG148,READING SIG. TR148,0
,RDNG332,READING SIG. TR332,0
,RDNG387,READING SIG. TR387,0
,RDNG508,READING SIG. TR508,0
,RDNG534,READING SIG. TR534,0
RBU,RDNGBUS,READING BUS,0
,RDNGMLE,READING MAIN LINE EAST,0
,REDBCEY,REDBRIDGE C.E. WKS.,0
,REEPHAM,REEPHAM,0
RHF,RHDLFLS,RHEIDOL FALLS,0
RHG,RHIGOS,RHIGOS BUS STOP,0
RHU,RHUM,RUM,0
RHW,RHWF,RHIWFRON,0
XTV,RHYMTRE,TREDEGAR BUS,0
,RIVRSDT,RIVERSIDE (TOTNES),0
RHB,ROBINHB,ROBIN HOODS BAY,0
,ROCKFY1,ROCK FERRY 1,0
,ROCKFYB,ROCK FERRY B,0
,ROGRBUS,ROGERSTONE BUS LINK,0
,ROLVNDN,ROLVENDEN,0
,ROMFLEJ,ROMFORD LONDON END JN,0
,ROMNEYS,ROMNEY SANDS,0
REB,ROMSEYB,ROMSEY BUS STATION,0
,ROPLBUS,ROPLEY (ANCHOR),0
RSB,ROSLARE,ROSSLARE HARBOUR,0
,ROSS234,HAMILTON CENTRAL SIG M234,0
,ROSSGF,ROSS G.F.,0
,ROTH410,ROTHERHAM SIG. S.410/2,0
,ROTH417,ROTHERHAM SIG. S.417/9,0
,ROTHS41,ROTHERHAM SIG S41,0
RRD,ROUENDD,ROUEN D D,0
ZRY,ROYALO,ROYAL OAK (LUL),0
,RPLA133,RIPPLE LANE EXC SIG 1133,0
,RPLA143,RIPPLE LANE MTNCE SIG 1143,0
RTY,RSAY,ROTHESAY,0
,RTFDT8,RETFORD SIG T8,0
,RTHGOS,RUTHERGLEN OLD STN.,0
,RTHGSTE,RUTHERGLEN S.& T.E.,0
,RTHL,ROTHLEY,0
,RVNS504,RAVENSCRAIG SIGNAL M504,0
,RYDCATS,RYDE PIER HEAD - SHIP,0
XRD,RYDEHOV,RYDE HOVERPORT,0
,RYDSCHS,RYDE ST. JOHNS ROAD C.H.S.,0
SLE,SALE,SALE,0
,SANW,ST ANDREWS,0
SAO,SANWBUS,ST ANDREWS BUS STATION,0
,SBCHTC,SANDBACH TOWN CENTRE,0
,SBOUBUS,SOUTHBOURNE (A259),0
,SCARAPL,SCARBOROUGH APPLETONS,0
,SCNT353,ANCHOR SIGNAL S353,0
,SCNTNPG,NORMANBY PARK GROUND FRAME,0
,SCNTSNJ,SANTON NEW JN,0
SCB,SCRBSTR,SCRABSTER,0
,SDNSJN,ST DENNIS JN.,0
XDK,SDONBUS,SWINDON BUS STATION,0
,SEACMBJ,SEACOMBE JN,0
SSF,SEATNSF,SEATON SEA FRONT,0
SIB,SEHOBUS,SEAHOUSES BUS,0
SKK,SELKIRK,SELKIRK,0
,SELMJN,SOUTH ELMSALL JN (PROP),0
SSA,SESAA26,SOUTHEASE A26,0
SEZ,SESABUS,SOUTHEASE (CHURCH),0
,SEVNS14,SEVEN SISTERS SIG. L1327,0
SRB,SEVTROG,SEVERN TNL JN ROGIET POOL,0
SRF,SFRD,STRETFORD,0
SWH,SHAFTTH,SHAFTESBURY TOWN HALL,0
,SHCK416,SHACKLEGATE JN SIGNAL F416,0
SHA,SHCRPTN,SHAW & CROMPTON (METRO),0
,SHEPUSD,SHEPPERTON UP SIDINGS,0
,SHIELDH,SHIELDHALL,0
,SHIL477,SHIELDMUIR SIGNAL M477,0
,SHKSPCS,SHAKESPEARE CLIFF SDGS,0
,SHKSPSH,SHAKESPEARE STAFF HALT,0
,SHLHAVN,SHELL HAVEN,0
JSY,SHLJRSY,ST HELIER (JERSEY),0
SHX,SHOTTLE,SHOTTLE,0
,SHRBRSJ,SHIREBROOK SOUTH JN,0
,SHRFDXR,SHERFIELD CROSS ROADS,0
,SILKMLC,SILK MILL L.C.,0
,SILOJN,SILO JUNCTION,0
,SLMBTHJ,SOUTH LAMBETH JN,0
,SLSBDTA,SALISBURY DEPOT CET APRON,0
,SLSBYHS,SALISBURY H.S.,0
,SLTHWTC,SLAITHWAITE TOWN CENTRE,0
XSA,SNDGNG,SANDRINGHAM NORWICH GATES,0
,SNDGVC,SANDRINGHAM VISITOR CENTRE,0
,SNDWCH,"OLDBURY, SANDWELL CNCL HSE",0
,SNETSHM,SNETTISHAM MARKET PLACE,0
SOS,SNSS,STROMNESS,0
STQ,SOTNTQ,SOUTHAMPTON TOWN QUAY,0
,SOTO779,SOUTHAMPTON SIGNAL E779,0
,SOTO862,SOUTHAMPTON SIGNAL E862,0
,SOTO955,SOUTHAMPTON SIGNAL E955,0
,SOTO957,SOUTHAMPTON SIGNAL E957,0
SOZ,SOUTLSM,SOUTHPORT (LORD STREET),0
,SPELBRK,SPELBROOK,0
,SPRGHTN,SPROUGHTON,0
SHV,SSEACLE,SOUTHSEA HOVERPORT,0
,STAI476,STAINES SIGNAL F476,0
,STAINHS,STAINES HIGH STREET,0
,STALBUS,ST ALBANS BUS,0
XTH,STANBUS,STANSTED AIRPORT BUS STOP,0
XFJ,STAUEDE,EDEN PROJECT,0
XCU,STETLEI,STREET LEIGH RD/CRISPIN HA,0
,STETLIB,STREET LIBRARY,0
,STFDLJN,LONDON END JN,0
,STFDMBS,STRATFORD MARKET B&S ACIDS,0
XSV,STFDOCS,STRATFORD OLD YD. C.H.S.,0
,STFDRPD,STRATFORD REPAIR DEPOT,0
,STFDS53,STRATFORD SIG L53,0
,STFDS82,STRATFORD GROUND SIG L82,0
,STHEVCS,SOUTHEND VICTORIA C.S.D.,0
SKV,STKEYNV,ST KEYNE VILLAGE,0
,STMAAPT,ST MARYS AIRPORT,0
SMQ,STMAQUY,ST. MARYS QUAY,0
,STMARYS,ST MARYS,0
,STNCRBT,STONEHOUSE CORNER RNDABOUT,0
,STNHPO,STONEHOUSE POST OFFICE,0
ZSM,STNMORE,STANMORE (LUL),0
XEI,STNVBUS,ST NEOTS CAMBRIDGE STREET,0
,STNVSQ,ST NEOTS SQ (BUS),0
,STNVXKY,ST NEOTS CROSS KEYS,0
,STOGMBR,STOGUMBER,0
HNY,STOKHAN,HANLEY BUS STATION,0
SCN,STONECS,STONE CROWN STREET,0
SGQ,STONEGS,STONE GRANVILLE SQUARE,0
,STPARCJ,REGENTS CANAL JN,0
GUS,STPETRP,ST PETER PORT (GUERNSEY),0
,STPHSE,ST. PATRICK'S HOUSE,0
,STPIDC,ST PIERRE DES CORPS,0
SWP,STRNWPR,STRANRAER WEST PIER,0
,STVRTBG,STAVERTON BRIDGE,0
,STWRLDC,STEWARTBY FORDERS LDC(EWS),0
SOY,STWY,STORNOWAY,0
,SUMMITS,SUMMIT,0
,SWELL1,SHEPHERDS WELL SIGNAL SH1,0
,SWELLSD,SHEPHERDS WELL LONG SIDING,0
ZSI,SWIMBDN,SOUTH WIMBLEDON LT,0
,SWNSGD,SWANSCOMBE-GEORGE & DRAGON,0
,SYDNFD,SYDENHAM HILL-FOUNTAIN DR.,0
,TABY208,THORNABY SIG T.Y.208.,0
TTA,TADWBUS,TADWORTH (THE AVENUE),0
,TANY,TAN-Y-BWLCH,0
TBT,TARBERT,TARBERT,0
,TAUNSBG,TAUNTON STATION BRIDGE,0
XDQ,TAUNSFC,TAUNTON STATION FORECOURT,0
,TAUNTRS,TAUNTON (RLY STN),0
,TEYNDVC,TEYNHAM DOVER CASTLE,0
,THBD214,THREE BRIDGES SIGNAL 1214,0
,THEGRN,THE GREEN,0
,THHLJN,THORNHILL JN,0
,THOKLB,THREE OAKS - LANE BRIDGE,0
,THPL148,THORPE-LE-SOKEN SIG CO1148,0
,THRMPT5,THRUMPTON SIG T5,0
,THRMT10,THRUMPTON SIG T10,0
TIM,TIMPRLY,TIMPERLEY,0
,TINS258,TINSLEY YD SIG TY258,0
,TINTCHR,TINTAGEL METHODIST CHURCH,0
XCY,TINTLNG,TINTAGEL LANGLEY'S SHOP,0
TEE,TIREE,TIREE,0
XDA,TIVIBUS,TIVERTON BUS STATION,0
,TLBYEJ,TILBURY EAST JN,0
TBR,TLBYRSD,TILBURY RIVERSIDE,0
,TLBYVWR,TILBURY IRFT VWR,0
,TMPL906,TEMPLE MILLS SIGNAL S906,0
,TMPLLEA,LEA INTERCHANGE (EWS),0
,TMPLTMD,STRATFORD TMD TEMPLE MILLS,0
,TNTRDNT,TENTERDEN TOWN,0
TOB,TOBRMRY,TOBERMORY,0
XTN,TONBRBC,UP REDHILL BRANCH C.H.S.,0
,TONDOGJ,TONDU OGMORE JN.,0
XDP,TOTNDSF,TOTNES DOWN STN FORECOURT,0
,TOTNSTA,TOTNES STATION ROAD,0
,TRAC,THORNEY ROSE & CROWN,0
TRL,TRALEE,TRALEE,0
,TROONHR,TROON HARBOUR,0
,TROWSOS,TROWSE OLD STATION,0
,TRURBOS,TRURO BOSCAWEN STREET,0
,TRURBUS,TRURO BUS STATION,0
XCV,TVSTBUS,TAVISTOCK BUS STATION,0
,TWCKNME,TWICKENHAM EAST,0
ZTG,TWGWDLR,TOWER GATEWAY DLR,0
,TWNMEDW,TOWN MEADOW,0
TYR,TYLORTN,TYLORSTOWN,0
,TYNSJBJ,ST JAMES BRIDGE JN,0
UIG,UIGG,UIG,0
ULP,ULLAPOL,ULLAPOOL,0
,VAXHALM,VAUXHALL (MERSEYRAIL),0
VTN,VNTNRBS,VENTNOR BUS TERMINAL,0
,WACB,BANK (CITY),0
,WACW,WATERLOO (WATERLOO & CITY),0
,WACWCHS,WATERLOO (W.& C.) C.H.S.,0
,WADHUSD,WADHURST UP SIDINGS,0
,WANSFD,WANSFORD,0
XDC,WANTMPL,WANTAGE MARKET PLACE,0
XWU,WARWUNI,WARWICK UNIVERSITY,0
,WASHFRD,WASHFORD,0
WFD,WATERFD,WATERFORD,0
ZWT,WATFLUL,WATFORD LUL,0
,WATLMR6,WATLINGTON SIGNAL MR6,0
,WATR,LONDON WATERLOO,0
,WCITYSD,WHITE CITY REV SDG,0
WBE,WDBDGBS,WADEBRIDGE BUS STATION,0
WDR,WDLNDSR,WOODLANDS ROAD,0
WDY,WDLYHI,WOODLEY (HUNTERS INN),0
,WDNSBRY,WEDNESBURY,0
,WDONDEX,W'DON DPT EARLSFIELD EXIT,0
,WDONDHX,W'DON DPT STAFF HALT EXIT,0
,WDONDPX,W'DON DPT WIMBLEDN PK EXIT,0
,WDRYCCD,W.DRAYTON COAL CON DEPOT,0
,WDULCRD,WEST DULWICH - CROXTED RD,0
WER,WEDGORB,"WEDGWOOD, WEDGWOOD LANE",0
WEO,WEDGORD,WEDGWOOD ENTRANCE OLD ROAD,0
WEN,WENXTSE,WELLS NEXT THE SEA,0
WXF,WEXFDOH,WEXFORD,0
,WEYB101,WEYBRIDGE SIGNAL 101,0
,WEYB212,WEYBRIDGE 212 POINTS,0
,WEYBLE,WEYBRIDGE LONDON END,0
,WEYMJSE,WEYMOUTH JERSEY SDG EXTN,0
,WEYMOTL,WEYMOUTH TRAMWAY LINE,0
,WFLD,WHITFIELD,0
WTF,WHFD,WHITEFIELD,0
,WHITEHL,WHITEHILL,0
,WHYTBUS,WHYTELEAFE SOUTH (A22),0
,WILITON,WILLITON,0
WNI,WINCNEW,WINCHELSEA - NEW INN,0
,WINCSEA,WINCHELSEA - SEA ROAD,0
,WIRKSTH,WIRKSWORTH,0
WIS,WISBBUS,WISBECH BUS STATION,0
,WISBCHE,WISBECH EAST,0
,WISBECH,WISBECH,0
WHH,WITEHIL,"WHITEHILL, PRINCE OF WALES",0
WTP,WITOPRK,WITTON PARK,0
WMP,WITYNE,WITNEY MARKET PLACE,0
WKL,WKLW,WICKLOW,0
WOX,WKNTBS,WORKINGTON (BUS STATION),0
,WLGFBAK,WALLINGFORD BAKERS OVEN,0
,WLGFBUS,WALLINGFORD BUS,0
XWX,WLGFORD,WALLINGFORD MARKET PLACE,0
XLN,WLGFSTN,CHOLSEY & WALLINGFORD RLY,0
,WLGFTWN,WALLINGFORD TOWN HALL,0
XDH,WLLSPRI,"WELLS, PRINCES ROAD",0
,WLSD038,WILLESDEN SIGNAL 1038,0
,WLSD039,WILLESDEN SIGNAL 1039,0
,WLSD044,WILLESDEN SIGNAL 1044,0
,WLSD046,WILLESDEN SIGNAL 1046,0
,WLSD048,WILLESDEN SIGNAL 1048,0
,WLSDS23,WILLESDEN SIGNAL WS23,0
,WNCFETC,WINCHFIELD E.T.C.,0
,WNCHBUS,WINCHESTER (BUS STATION),0
,WNCHRHC,WINCHESTER R.H COUNTY HOSP,0
,WOKI12P,WOKING NO. 2245 POINTS,0
,WORKSPW,WORKSOP WEST S.B.,0
,WREXGUB,WREXHAM GENERAL UP BAY,0
,WRGTRTS,WARRINGTON R.T.S.,0
ZWV,WRKALT,WARWICK AVENUE LT,0
,WRNGRMT,PETERBOROUGH ROYAL MAIL,0
,WRWCKRD,WARWICK RD FOR OLD TRFFRD,0
XDS,WSTBSTA,WESTBURY STATION APPROACH,0
,WSTHOMB,WESTHOUGHTON METAL BOX,0
WSG,WSTSTRT,WEST STREET,0
XDI,WTNBHST,WOOTTON BASSETT HIGH ST.,0
,WTRNHF,WATERINGBURY HOP FARM,0
WVP,WVLEBUS,WATERLOOVILLE (PRECINCT),0
,WWODVIL,WESTWOOD VILLAGE,0
,WYBN,WEYBOURNE,0
,YARHSWY,YARMOUTH SLIPWAY,0
,YARMCMD,YARMOUTH CAR M.D.,0
,YARMREC,YARMOUTH RECP.,0
,YATLHL,YATELEY (HANDFORTH LANE),0
,YATLMP,YATELEY (MANOR PARK),0
,YATLSSC,YATELEY (ST SWITHUNS CH),0
,YATLVL,YATELEY (VIGO LANE),0
YMH,YMTHIOW,YARMOUTH (I.O.W.),0
CAQ,YORKCSH,CASTLE HOWARD,0
EDZ,YORKECP,EDEN CAMP,0
FLZ,YORKFLM,FLAMINGO LAND,0
PIZ,YORKPCK,PICKERING EASTGATE,0
WTZ,YORKWHT,WHITBY BUS STATION,0
YVB,YOVILBS,YEOVIL BUS STATION,0
,YOVILJS,YEOVIL JUNCTION STATION,0
,YOVILPS,YEOVIL PEN MILL STATION,0
XKW,YSTRBWD,BLACKWOOD,0
XYT,YTRHPEN,PENRHYS (ROUNDABOUT),0
,AACHEN,AACHEN,5
,KOLNHBF,KOLN HBF,9
,KOLNNIE,KOLN NIEHL,10
DUS,DUSSDRF,DUSSELDORF HBF,13
,DUISRH,DUISBURG RUHRORT-HAFEN,17
,MONCHEN,MONCHENGLADBACH,18
ESS,ESSNHBF,ESSEN HBF,20
BUM,BOCHUM,BOCHUM HBF,23
DTM,DORTMND,DORTMUND HBF,25
BNJ,BONNHBF,BONN HBF,31
KBZ,KOBLENZ,KOBLENZ HBF,34
FRA,FRNKFRT,FRANKFURT (MAIN) HBF,41
MNZ,MINZHBF,MAINZ HBF,44
,DILLING,DILLINGEN (SAARLOUIS),51
,MANHHAN,MANNHEIM HANDELSHAFEN,54
,MANHRAN,MANNHEIM RANGIERBAHNHOF,55
,STUTHAF,STUTTGART HAFEN,61
,NEUULM,NEU ULM,63
,MUNCHEN,MUNCHEN,65
,RSNHEIM,ROSENHEIM,69
,EINSLHF,EINSIEDLERHOF,95
,GREMBRG,GREMBERG,98
,SALZBRG,SALZBURG,105
,LINZ,LINZ,119
,STPOLTN,ST POLTEN,133
,WIENNWB,WIEN NORDWESTBAHNHOF,135
,PRTBOU,PORT BOU,205
,BARCEMR,BARCELONA EL MORROT,215
,TARRAGN,TARRAGONA,223
,VALNCIA,VALENCIA,227
,FRDFACT,FORD FACTORIA,228
,SILLA,SILLA,229
,BENIFAY,BENIFAYO-ALMOSAFES,232
,MIRADEB,MIRANDA DE EBRO,235
,VALADOL,VALLADOLID,245
,LUINO,LUINO,305
,BUSTARZ,BUSTO ARSIZIO,309
,MILANML,MILANO MELZO,315
,MILANRO,MILANO ROGOREDO,316
,MILANSE,MILANO SEGRATE,317
,MILANPI,MILANO PIOLTELLO,319
,TORIORB,TORINO ORBASSANO,323
,NOVARA,NOVARA,328
,PIACNZA,PIACENZA,332
,VITTARL,VITTUONE-ARLUNO,335
,NAPCENT,NAPOLI CENTRALE,353
,VELIMTT,VELIM TEST TRACK,403
,BASESGG,BASEL SBB GB GTI,505
,BASEL,BASEL,506
,CHUNFRC,FRENCH TUNNEL CROSSOVER,703
,CHUNFRP,FRENCH TUNNEL PORTAL,705
,CALATSH,CALAIS TUNNEL SOUTH H.S,707
,CALAEES,CALAIS EUROTUNNEL EMGCY S,709
MSC,MRSLSTC,MARSEILLE ST CHARLES,710
FRH,CALAFGV,CALAIS FRETHUN GARE VGRS,711
,CALAFGB,CALAIS FRETHUN (GBRF),712
,CALAFT,CALAIS FRETHUN (TUNNEL),713
,CALACE,CALAIS COQUELLES EUROTUNL,715
,CALACA,CALAIS CAFFIERS,716
,CALAFL,CALAIS FRETHUN (LOCAL),717
,CALAFCR,CALAIS FRETHUN COLAS RAIL,718
,CALAFD,CALAIS FRETHUN DEPOT,719
,LSTREM,LESTREM,727
,LILLEPF,LILLE-PORT-FLUVIAL,728
,CALAVGV,CALAIS VILLE GARE VGRS,729
,DNKIRK,DUNKIRQUE VIA DOVER,730
,HAZEBCK,HAZEBROUCK,736
,LENS,LENS,737
,BAISIEU,BAISIEUX (SNCF/SNCB BRDR),738
,DONSAIN,DON SAINGHIN (LILLE),739
,LILLDEL,LILLE DELIVERANCE,740
LIU,LILLE,LILLE EUROPE,741
LIL,LILLEFL,LILLE FLANDRES,742
,ARAS,ARRAS,743
,SOMAINL,SOMAIN (LILLE),744
,TORCOIN,TOURCOING,745
,AULNOYE,AULNOYE,746
,JEUMONT,JEUMONT,747
CHV,CLVMEZR,CHARLEVILLE-MEZIERES,748
,LNGU,LONGEAU,749
PBN,PARISND,PARIS NORD,750
,PICARDE,GARE PICARDE,751
,ACHERES,ACHERES,752
,GONESSE,GONESSE,753
,NOISLSC,NOISY-LE-SEC CMT,754
,PARILLA,PARIS LE LANDY DEPOT,756
,VALENYD,VALENTON YARD,757
,LNGON,LONGUYON,760
,HONDEGM,HONDEGHEM,761
FOB,FORBACH,FORBACH,762
,TOUL,TOUL,763
MZM,METZ,METZ,764
,SARRBRG,SARREBOURG,765
,STRAHAU,STRASBOURG HAUSBERGEN,767
XIB,BORGSTM,BOURG ST MAURICE,768
,CULMCHA,CULMONT-CHALINDREY,769
,DIJONPY,DIJON-PERRIGNY,771
,MNTBLRD,MONTBELIARD,773
,MACONVL,MACON-VILLE,774
,LYONGUI,LYON GUILLOTIERE,775
,LYONVEN,LYON VENISSIEUX,776
,MULHNRD,MULHOUSE NORD,777
,MULHING,MULHOUSE ILE NAPOLEAN GAR,778
,BRGBRSE,BOURG-EN-BRESSE,779
,AMBRIEU,AMBERIEU,780
,MODANE,MODANE,781
AVI,AVIGCMT,AVIGNON C M T,783
,AVIGVIL,AVIGNON VILLE,783
CMC,CHAMCLE,CHAMBERY-CHALLES-LES-EAUX,785
FNI,NIMES,NIMES,786
NNE,NRBONNE,NARBONNE,787
,PERPROU,PERPIGNAN ROUSSILLON,788
,LESAORL,LES AUBRAIS-ORLEANS,789
POI,POITIER,POITIERS,790
,BORDBAS,BORDEAUX-BASTIDE,792
BOX,BORDSTJ,BORDEAUX ST. JEAN,792
DAX,DAXX,DAX,794
HEF,HNDAYE,HENDAYE,796
CER,CERBERE,CERBERE,798
MCK,MARNELV,MARNE-LA-VALLEE,799
,TOURNAI,TOURNAI,839
,ATHH,ATH,841
,HLLE,HALLE,844
,MOUSCRN,MOUSCRON,846
,MERLBKE,MERELBEKE,848
BXS,BRUXMID,BRUXELLES MIDI,850
,BRUXFOR,BRUXELLES FOREST DEPOT,855
,MUIZEN,MUIZEN,857
,LIEGE,LIEGE,859
,NAMUR,NAMUR,861
,ARLON,ARLON,865
BBR,BETTMBG,BETTEMBOURG,889
,TILBURG,TILBURG WORKS,907
RDL,ROSNDAL,ROOSENDAAL CS,909
,KIJFOEK,KIJFHOEK YARD,916
ROT,ROTTCS,ROTTERDAM C.S.,918
DHS,DNHAAG,DEN HAAG CS,927
,HOOFDOR,HOOFDDORP,933
,AMSTSCH,AMSTERDAM SCHIPHOL,937
AMS,AMSTDAM,AMSTERDAM C.S.,950
THS,THURSO,THURSO,1001
,THURSOU,THURSO U.K.A.E.A.,1003
,WATTEN,WATTEN,1004
WCK,WICK,WICK,1005
,WICKSDG,WICK SDG ISU CE,1006
,GRGMACE,GEORGEMAS JUNCTION C.E.,1007
GGJ,GRGMASJ,GEORGEMAS JUNCTION,1008
,GRGMYLC,HOY L.C.,1008
SCT,SCSCLDR,SCOTSCALDER,1009
ABC,ALTNBRC,ALTNABREAC,1010
,ALTNCCE,ALTNABREAC C.E.,1011
,FORSNLC,FORSINARD L.C.,1012
FRS,FORSNRD,FORSINARD,1012
KBC,KINBRAC,KINBRACE,1013
,FORSNCE,FORSINARD C.E.,1014
KIL,KILDONN,KILDONAN,1015
HMS,HELMSDL,HELMSDALE,1016
,HELMSCE,HELMSDALE C.E.,1017
,KINBTLP,KINBRACE TIMBER LOADING PT,1018
,LOTH,LOTH,1019
,GRGMHLC,HALKIRK,1020
BRA,BRORA,BRORA,1021
,BRORALC,BRORA L.C.,1021
,BRORDLC,DALCHALM L.C.,1021
,BRORACE,BRORA C.E.,1022
DNO,DNROBIN,DUNROBIN CASTLE,1023
,GOLSKLC,KIRKTON L.C.,1024
GOL,GOLSPIE,GOLSPIE,1024
,GRGMBOW,BOWER,1026
ROG,ROGART,ROGART,1027
,ACHLDH,ACHEILDH,1028
,WICKGF,WICK G.F.,1029
,LAIRSSH,LAIRG SOUTH SHUNT,1030
LRG,LAIRG,LAIRG,1031
,LAIRGLC,LAIRG L.C.,1031
,LAIRGCE,LAIRG C.E.,1032
,LAIRGOT,LAIRG OIL TERMINAL,1033
INH,INVRSHN,INVERSHIN,1035
CUA,CULRAIN,CULRAIN,1037
